id,placed_at,cost,employee_id
0,2024-09-05T19:39:28.074479,38.10,6
1,2025-03-02T15:43:04.124615,7.75,8
2,2024-12-12T03:05:04.643521,16.45,9
3,2024-10-10T01:29:52.408864,22.75,4
4,2024-07-21T18:47:51.907954,17.70,4
5,2024-07-12T10:35:15.007051,29.70,1
6,2025-08-22T07:03:41.582583,8.25,3
7,2024-12-11T16:17:04.075831,39.70,2
8,2024-07-25T15:28:16.276120,23.30,7
9,2024-12-22T02:11:04.104710,33.20,3
10,2024-11-21T01:27:16.722928,33.35,9
11,2025-03-30T04:22:39.756774,35.40,1
12,2024-05-19T20:04:53.062445,21.25,10
13,2024-06-22T09:08:16.779558,17.45,10
14,2025-07-31T18:51:59.915888,14.15,6
15,2025-08-14T02:34:28.530613,7.50,1
16,2025-01-02T08:36:26.444486,15.25,4
17,2025-09-23T04:29:59.333322,10.45,11
18,2024-05-24T09:59:01.455930,26.15,0
19,2025-05-20T00:59:02.378158,9.50,7
20,2024-06-27T22:14:10.965237,8.75,11
21,2025-01-18T12:14:18.206254,9.30,10
22,2025-09-08T06:41:10.303085,43.20,3
23,2025-01-27T01:58:53.235789,32.40,2
24,2025-02-26T08:57:59.521156,30.40,1
25,2025-06-05T06:52:53.203278,24.05,6
26,2025-04-22T13:52:05.616631,10.20,11
27,2024-08-20T03:32:10.454336,15.80,5
28,2024-12-17T17:15:37.809045,25.95,0
29,2025-01-05T15:18:49.514444,17.50,9
30,2025-02-27T08:40:43.822952,25.15,9
31,2024-11-18T05:06:54.037905,15.25,7
32,2025-03-12T07:06:10.834675,41.20,10
33,2025-01-01T03:36:34.123973,23.45,8
34,2025-07-23T10:24:27.369858,35.30,5
35,2025-03-10T12:30:08.426222,23.95,9
36,2025-07-19T04:58:00.897813,39.85,10
37,2024-06-12T05:40:05.551109,30.90,3
38,2025-06-21T11:53:20.750354,21.75,0
39,2025-08-19T22:08:45.782500,10.05,4
40,2024-06-02T05:18:10.656285,14.20,5
41,2024-10-10T15:32:36.934085,24.45,6
42,2025-07-20T09:40:18.757651,27.95,3
43,2025-09-19T13:25:44.536692,14.15,6
44,2024-06-19T12:39:53.659755,15.00,9
45,2024-09-01T03:09:42.027710,24.50,9
46,2025-03-14T16:57:54.293487,39.00,4
